seed,epoch,loss,reconstruction_loss,kl_loss
7,1,963.505637,963.497961,1.534893
7,2,725.018785,724.885071,26.742906
7,3,641.608748,641.448794,31.990122
7,4,570.965263,570.868197,19.412276
7,5,529.100066,528.803411,59.329746
7,6,462.701910,462.075939,125.194146
7,7,401.614531,400.814821,159.942064
7,8,355.624078,354.709327,182.949530
7,9,322.642778,321.624412,203.673096
7,10,300.160077,299.155204,200.974566
7,11,277.955867,276.904491,210.275412
7,12,266.754963,265.625162,225.960674
7,13,256.147128,254.978896,233.646622
7,14,243.208892,242.065378,228.703165
7,15,234.699369,233.574806,224.912512
7,16,224.665798,223.483301,236.499375
7,17,217.852834,216.647813,241.004469
7,18,212.116190,210.937469,235.744282
7,19,203.667166,202.451997,243.033345
7,20,195.699066,194.461003,247.612239
7,21,188.528000,187.278877,249.824733
7,22,183.104673,181.835967,253.741148
7,23,177.603747,176.333088,254.131692
7,24,171.545998,170.234446,262.310715
7,25,166.289331,164.986472,260.571553
