dataset,requirement,variant,n_images,pass_rate,precondition_match,valid_failures,estimated_cost_usd,cost_per_valid_failure_usd
sgsm,S2,lr,10000,0.133600,0.850000,7364.400,356.00,0.05
mnist,M3,lr,10000,0.694100,0.958000,2930.522,356.00,0.12
sgsm,S1,lr,10000,0.653500,0.760000,2633.400,356.00,0.14
celeba,C6,lr,10000,0.795700,0.981000,2004.183,356.00,0.18
celeba,C2,lr,10000,0.878600,0.964000,1170.296,356.00,0.30
sgsm,S3,lr,10000,0.887000,0.783000,884.790,356.00,0.40
celeba,C3,lr,10000,0.914100,0.975000,837.525,356.00,0.43
celeba,C1,lr,10000,0.915800,0.961000,809.162,356.00,0.44
celeba,C4,lr,10000,0.909000,0.894000,813.540,356.00,0.44
mnist,M6,allreq,1000,0.836000,0.299000,49.036,56.05,1.14
mnist,M2,lr,10000,0.972400,0.980000,270.480,356.00,1.32
celeba,C5,lr,10000,0.974800,0.955000,240.660,356.00,1.48
mnist,M6,lr,10000,0.977300,0.957000,217.239,356.00,1.64
mnist,M4,allreq,1000,0.945000,0.564000,31.020,56.05,1.81
mnist,M3,allreq,1000,0.932000,0.275000,18.700,56.05,3.00
mnist,M4,lr,10000,0.987400,0.925000,116.550,356.00,3.05
mnist,M5,allreq,1000,0.940000,0.229000,13.740,56.05,4.08
mnist,M1,allreq,1000,0.974000,0.523000,13.598,56.05,4.12
mnist,M4,alldata,1000,0.966000,0.127000,4.318,56.05,12.98
sgsm,S6,lr,10000,0.997100,0.945000,27.405,356.00,12.99
mnist,M5,lr,10000,0.997200,0.900000,25.200,356.00,14.13
sgsm,S5,lr,10000,0.997400,0.741000,19.266,356.00,18.48
mnist,M2,allreq,1000,0.979000,0.112000,2.352,56.05,23.83
mnist,M1,lr,10000,0.998900,0.968000,10.648,356.00,33.43
mnist,M1,alldata,1000,0.982000,0.028000,0.504,56.05,111.21
mnist,M3,alldata,1000,0.996000,0.074000,0.296,56.05,189.36
mnist,M6,alldata,1000,0.990000,0.029000,0.290,56.05,193.28
mnist,M2,alldata,1000,0.982000,0.004000,0.072,56.05,778.47
mnist,M5,alldata,1000,0.992000,0.005000,0.040,56.05,1401.25
sgsm,S4,lr,10000,1.000000,0.854000,0.000,356.00,
sgsm,S7,lr,10000,1.000000,0.830000,0.000,356.00,
