seed,requirement,n_train_images,n_generated_images,pass_rate,paper_lr_pass_rate,delta_vs_paper_lr,failure_count,nearest_train_mse_mean,nearest_train_mse_min,exact_train_matches,last_loss,train_seconds
7,M1,100,100,1.000000,0.999000,+0.001000,0,0.002519,0.001372,0,399.448605,44.00
7,M2,100,100,0.980000,0.977000,+0.003000,2,0.002732,0.001341,0,399.448605,44.00
7,M3,100,100,0.760000,0.724000,+0.036000,24,0.002188,0.000727,0,399.448605,44.00
7,M4,100,100,0.990000,0.982000,+0.008000,1,0.002999,0.001571,0,399.448605,44.00
7,M5,100,100,1.000000,0.994000,+0.006000,0,0.002665,0.001053,0,399.448605,44.00
7,M6,100,100,0.990000,0.976000,+0.014000,1,0.002250,0.001126,0,399.448605,44.00
13,M1,100,100,1.000000,0.999000,+0.001000,0,0.001267,0.000720,0,389.469174,42.93
13,M2,100,100,0.960000,0.977000,-0.017000,4,0.001446,0.000756,0,389.469174,42.93
13,M3,100,100,0.650000,0.724000,-0.074000,35,0.001288,0.000718,0,389.469174,42.93
13,M4,100,100,0.970000,0.982000,-0.012000,3,0.001669,0.000858,0,389.469174,42.93
13,M5,100,100,1.000000,0.994000,+0.006000,0,0.001889,0.001058,0,389.469174,42.93
13,M6,100,100,0.990000,0.976000,+0.014000,1,0.001378,0.000882,0,389.469174,42.93
29,M1,100,100,1.000000,0.999000,+0.001000,0,0.001427,0.000748,0,395.413199,42.30
29,M2,100,100,0.950000,0.977000,-0.027000,5,0.001962,0.000744,0,395.413199,42.30
29,M3,100,100,0.740000,0.724000,+0.016000,26,0.001909,0.000782,0,395.413199,42.30
29,M4,100,100,0.960000,0.982000,-0.022000,4,0.001818,0.001007,0,395.413199,42.30
29,M5,100,100,1.000000,0.994000,+0.006000,0,0.002674,0.001121,0,395.413199,42.30
29,M6,100,100,0.990000,0.976000,+0.014000,1,0.001730,0.000871,0,395.413199,42.30
