seed,epoch,loss,reconstruction_loss,kl_loss
7,1,2519.958105,2515.870459,408.764273
7,2,2039.176221,2038.817224,35.900575
7,3,1550.438757,1550.015112,42.364374
7,4,1442.308533,1441.417871,89.066959
7,5,1397.484985,1396.352161,113.280919
7,6,1374.698706,1373.697241,100.144422
7,7,1336.979749,1336.064966,91.476928
7,8,1309.961731,1309.246338,71.540405
7,9,1269.859595,1269.226013,63.357762
7,10,1180.619202,1180.114270,50.492781
7,11,1052.429651,1051.969678,45.997131
7,12,978.362994,977.860583,50.241000
7,13,934.726910,934.159412,56.750048
7,14,913.807776,913.157471,65.029843
7,15,884.017877,883.198645,81.923339
7,16,874.979736,874.005768,97.397310
7,17,862.293695,861.234912,105.878133
7,18,846.969061,845.801617,116.745115
7,19,841.293774,840.072430,122.133801
7,20,829.067584,827.792120,127.545537
7,21,830.562921,829.286823,127.610149
7,22,804.206079,802.735602,147.047911
7,23,795.240106,793.766156,147.394328
7,24,778.079590,776.608118,147.147426
7,25,749.624268,747.919330,170.493504
7,26,720.029810,718.180688,184.911525
7,27,694.599078,692.589594,200.948404
7,28,677.565424,675.525470,203.995097
7,29,661.144336,659.104962,203.936856
7,30,639.208997,637.142230,206.676753
7,31,624.732141,622.651825,208.032137
7,32,605.680103,603.529358,215.074640
7,33,587.552295,585.342236,221.005742
7,34,575.765729,573.556696,220.903773
7,35,569.533331,567.350452,218.287105
7,36,562.142383,560.058295,208.408875
7,37,558.478613,556.434515,204.410645
7,38,547.147430,545.191956,195.547961
7,39,531.698715,529.761459,193.726001
7,40,529.162396,527.225623,193.676793
7,41,521.295569,519.340289,195.528300
7,42,510.812677,508.802722,200.995778
7,43,505.149564,503.110754,203.880960
7,44,500.425705,498.382242,204.346194
7,45,494.613403,492.636752,197.665613
7,46,488.998965,487.022861,197.610686
7,47,483.714124,481.719080,199.504616
7,48,476.074948,474.092697,198.225441
7,49,478.372571,476.438693,193.387938
7,50,473.604532,471.680283,192.425233
7,51,467.951392,465.985629,196.576591
7,52,464.631467,462.675116,195.635379
7,53,463.974188,461.998944,197.524786
7,54,461.410403,459.411789,199.861133
7,55,458.529486,456.551886,197.760023
7,56,450.964832,448.968790,199.604771
7,57,450.464758,448.482932,198.182503
7,58,449.304309,447.347104,195.720149
7,59,446.258011,444.328778,192.922929
7,60,443.035880,441.065555,197.032751
7,61,443.538739,441.554718,198.402396
7,62,443.554541,441.562827,199.170993
7,63,446.764670,444.783469,198.119708
7,64,454.635239,452.711249,192.399371
7,65,449.365063,447.444223,192.084027
7,66,440.024924,438.060126,196.479726
7,67,437.361237,435.437918,192.332130
7,68,433.588876,431.654883,193.399023
7,69,427.955447,425.997992,195.745744
7,70,427.457733,425.487534,197.020506
7,71,422.088663,420.092206,199.645642
7,72,421.017044,418.987280,202.976375
7,73,420.848663,418.831479,201.718811
7,74,419.360400,417.328000,203.240393
7,75,417.863989,415.806528,205.745905
7,76,416.091562,414.063712,202.785063
7,77,416.453372,414.445267,200.811116
7,78,415.467035,413.439032,202.800291
7,79,414.099783,412.088388,201.139687
7,80,414.975311,412.984399,199.090887
7,81,413.845718,411.838480,200.724113
