dataset,requirement,method,available_images,reported_n_images,pass_rate,precondition_match,raw_failure_rate,valid_failure_rate,valid_failures,invalid_failures,validity_gap,notes
sgsm,S2,lr,100,10000,0.133600,0.850000,0.866400,0.736440,7364.400,1299.600,0.150000,
mnist,M3,lr,100,10000,0.694100,0.958000,0.305900,0.293052,2930.522,128.478,0.042000,
sgsm,S1,lr,100,10000,0.653500,0.760000,0.346500,0.263340,2633.400,831.600,0.240000,
celeba-hq,C6,lr,100,10000,0.795700,0.981000,0.204300,0.200418,2004.183,38.817,0.019000,
celeba-hq,C2,lr,100,10000,0.878600,0.964000,0.121400,0.117030,1170.296,43.704,0.036000,
sgsm,S3,lr,100,10000,0.887000,0.783000,0.113000,0.088479,884.790,245.210,0.217000,
celeba-hq,C3,lr,100,10000,0.914100,0.975000,0.085900,0.083752,837.525,21.475,0.025000,
celeba-hq,C4,lr,100,10000,0.909000,0.894000,0.091000,0.081354,813.540,96.460,0.106000,
celeba-hq,C1,lr,100,10000,0.915800,0.961000,0.084200,0.080916,809.162,32.838,0.039000,
mnist,M6,allreq,1000,1000,0.836000,0.299000,0.164000,0.049036,49.036,114.964,0.701000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M4,allreq,1000,1000,0.945000,0.564000,0.055000,0.031020,31.020,23.980,0.436000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M2,lr,100,10000,0.972400,0.980000,0.027600,0.027048,270.480,5.520,0.020000,
celeba-hq,C5,lr,100,10000,0.974800,0.955000,0.025200,0.024066,240.660,11.340,0.045000,
mnist,M6,lr,100,10000,0.977300,0.957000,0.022700,0.021724,217.239,9.761,0.043000,
mnist,M3,allreq,1000,1000,0.932000,0.275000,0.068000,0.018700,18.700,49.300,0.725000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M5,allreq,1000,1000,0.940000,0.229000,0.060000,0.013740,13.740,46.260,0.771000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M1,allreq,1000,1000,0.974000,0.523000,0.026000,0.013598,13.598,12.402,0.477000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M4,lr,100,10000,0.987400,0.925000,0.012600,0.011655,116.550,9.450,0.075000,
mnist,M4,alldata,1000,1000,0.966000,0.127000,0.034000,0.004318,4.318,29.682,0.873000,MNIST ablation joined from local replication and rq1_mnist.json.
sgsm,S6,lr,100,10000,0.997100,0.945000,0.002900,0.002741,27.405,1.595,0.055000,
mnist,M5,lr,100,10000,0.997200,0.900000,0.002800,0.002520,25.200,2.800,0.100000,
mnist,M2,allreq,1000,1000,0.979000,0.112000,0.021000,0.002352,2.352,18.648,0.888000,MNIST ablation joined from local replication and rq1_mnist.json.
sgsm,S5,lr,100,10000,0.997400,0.741000,0.002600,0.001927,19.266,6.734,0.259000,
mnist,M1,lr,100,10000,0.998900,0.968000,0.001100,0.001065,10.648,0.352,0.032000,
mnist,M1,alldata,1000,1000,0.982000,0.028000,0.018000,0.000504,0.504,17.496,0.972000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M3,alldata,1000,1000,0.996000,0.074000,0.004000,0.000296,0.296,3.704,0.926000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M6,alldata,1000,1000,0.990000,0.029000,0.010000,0.000290,0.290,9.710,0.971000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M2,alldata,1000,1000,0.982000,0.004000,0.018000,0.000072,0.072,17.928,0.996000,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M5,alldata,1000,1000,0.992000,0.005000,0.008000,0.000040,0.040,7.960,0.995000,MNIST ablation joined from local replication and rq1_mnist.json.
sgsm,S4,lr,100,10000,1.000000,0.854000,0.000000,0.000000,0.000,0.000,0.146000,
sgsm,S7,lr,100,10000,1.000000,0.830000,0.000000,0.000000,0.000,0.000,0.170000,
